book,scene_id,chapter_slug,line_start,line_end,slug_text,pov,time_marker,asserted_location,is_slug
1,s033-genessee-street-smelled-like-river-water-and-old-bri,chapter-six,1490,1490,"Genessee Street smelled like river water and old brick.",Blake,"","Genessee Street smelled like river water and old brick.",true
1,s034-october-morning-sharp-bright-the-kind-of-kansas-c,chapter-six,1491,1503,"October morning. Sharp. Bright. The kind of Kansas City day",Blake,"October","",true
1,s035-1647-genessee-street-looked-abandoned-graffiti-on-t,chapter-six,1504,1529,"1647 Genessee Street looked abandoned. Graffiti on the loading",Blake,"","1647 Genessee Street looked abandoned",true
1,s036-apartment-at-6-am-with-seven-leather-notebooks-i-th,chapter-six,1530,1601,"apartment at 6 AM with seven leather notebooks. I thought she was",Blake,"6 AM","apartment at 6 AM with seven leather notebooks",true
1,s037-late-afternoon-andrew-gone-nadia-reorganizing-docu,chapter-six,1602,1698,"Late afternoon. Andrew gone. Nadia reorganizing documents at the",Blake,"afternoon","",true
1,s038-morning-coffee-2-was-different,chapter-seven,1699,1724,"Morning Coffee #2 was different.",Blake,"Morning","",true
1,s039-subtropolis-wasn-t-built-it-was-mined-midwest-pre,chapter-seven,1725,1867,"\"SubTropolis wasn't built. It was mined. Midwest Precote started",Blake,"","\"SubTropolis wasn't built",true
1,s040-he-killed-my-mentor-sister-katarina-in-prague-20,chapter-seven,1868,1879,"\"He killed my mentor. Sister Katarina. In Prague. 2019. Made it",Blake,"","In Prague",true
1,s041-subtropolis-the-deep-chambers,chapter-seven,1880,1938,"SubTropolis. The deep chambers.",Blake,"","SubTropolis",true
1,s042-ethan-was-in-the-kitchen-blake-s-nephew-thirty-one,chapter-eight,1939,1954,"Ethan was in the kitchen. Blake's nephew, thirty-one, practical, the",Blake,"","Ethan was in the kitchen",true
1,s043-the-kitchen-went-quiet-outside-a-cardinal-landed-o,chapter-eight,1955,1962,"The kitchen went quiet. Outside, a cardinal landed on the feeder.",Blake,"","The kitchen went quiet",true
1,s044-through-the-kitchen-window-he-could-see-the-backyard,chapter-eight,1963,1999,"Through the kitchen window he could see the backyard. Smaller",Blake,"","Through the kitchen window he could see the backyard",true
1,s045-inside-a-key-different-from-william-s-smaller-mo,chapter-eight,2000,2000,"Inside: a key. Different from William's. Smaller, modern, a Post",Blake,"","",true
1,s046-office-box-key-and-a-note-in-james-s-handwriting,chapter-eight,2001,2057,"Office box key. And a note in James's handwriting:",Blake,"","Office box key",true
1,s047-post-office-box-and-a-note-three-words-don-t-go,chapter-eight,2058,2061,"\"Post Office box. And a note. Three words: Don't go alone.\"",Blake,"","\"Post Office box",true
1,s048-i-m-heading-back-now-he-said-meet-me-at-genesse,chapter-eight,2062,2075,"\"I'm heading back now,\" he said. \"Meet me at Genessee Street?\"",Blake,"","\"Meet me at Genessee Street?\"",true
1,s049-the-analysis-chamber-lived-in-the-basement-of-1647-g,chapter-nine,2076,2105,"The Analysis Chamber lived in the basement of 1647 Genessee Street.",Nadia,"","The Analysis Chamber lived in the basement of 1647 Genessee Street.",true
1,s050-the-missouri-and-mississippi-river-valleys-picture,chapter-nine,2106,2129,"the Missouri and Mississippi river valleys. Picture Cave, Mud Glyph",Nadia,"","Picture Cave, Mud Glyph",true
1,s051-you-ve-done-this-before,chapter-nine,2130,2151,"\"You've done this before.\"",Blake,"","",true
1,s052-strahov-chamber-was-approaching-8-13-a-pause-at,chapter-nine,2152,2190,"Strahov chamber was approaching 8:13.\" A pause. \"At 13:21, you'd",Blake,"","Strahov chamber was approaching 8:13.\" A pause",true
1,s053-the-lamp-hummed-genessee-street-was-quiet,chapter-nine,2191,2203,"The lamp hummed. Genessee Street was quiet.",Blake,"","Genessee Street was quiet.",true
1,s054-we-should-get-some-rest-nadia-said-tomorrow-we,chapter-nine,2204,2227,"\"We should get some rest,\" Nadia said. \"Tomorrow we go to",Blake,"","",true
1,s055-chapter-ten,chapter-ten,2228,2245,"CHAPTER TEN",Blake,"","",true
1,s056-condensation-the-commercial-mining-level-subtropol,chapter-ten,2246,2257,"condensation. The commercial mining level, SubTropolis proper, a",Blake,"","The commercial mining level, SubTropolis proper, a",true
1,s057-and-put-it-in-her-pocket-before-they-left-genessee-s,chapter-ten,2258,2259,"and put it in her pocket before they left Genessee Street. Blake had",Blake,"","and put it in her pocket before they left Genessee Street",true
1,s058-at-the-bottom-the-shaft-opened-into-a-natural-chamb,chapter-ten,2260,2278,"At the bottom, the shaft opened into a natural chamber. The",Blake,"","At the bottom, the shaft opened into a natural chamber",true
1,s059-four-years-the-climate-controlled-warehouses-and-of,chapter-ten,2279,2296,"four years. The climate-controlled warehouses and office spaces. This",Blake,"","The climate-controlled warehouses and office spaces",true
1,s060-chamber-whose-ceiling-rose-beyond-the-reach-of-their,chapter-ten,2297,2445,"chamber whose ceiling rose beyond the reach of their flashlights. His",Blake,"","chamber whose ceiling rose beyond the reach of their flashlights",true
1,s061-the-old-priest-reached-into-his-robe-a-small-leathe,chapter-ten,2446,2446,"The old priest reached into his robe. A small leather case. \"William",Blake,"","",true
1,s062-left-this-for-you-he-said-you-d-need-it-when-you-re,chapter-ten,2447,2460,"left this for you. He said you'd need it when you reached Prague.\"",Blake,"","He said you'd need it when you reached Prague.\"",true
1,s063-the-strahov-library-dryden-said-one-of-the-olde,chapter-ten,2461,2478,"\"The Strahov Library,\" Dryden said. \"One of the oldest in Europe.",Blake,"","\"The Strahov Library,\" Dryden said",true
1,s064-three-keys-now-william-s-oscar-01-key-james-s-key,chapter-ten,2479,2479,"Three keys now. William's Oscar-01 key. James's key from",Blake,"","",true
1,s065-lorraine-s-box-and-the-strahov-library-key-waiting,chapter-ten,2480,2488,"Lorraine's box. And the Strahov Library key, waiting since 1965.",Blake,"","And the Strahov Library key, waiting since 1965.",true
1,s066-early-light-she-looked-different-not-less-committe,chapter-ten,2489,2489,"early light, she looked different. Not less committed. Less divided.",Blake,"","",true
1,s067-prague-blake-confirmed-but-first-we-analyze-wha,chapter-ten,2490,2490,"\"Prague,\" Blake confirmed. \"But first we analyze what we found.",Blake,"","\"Prague,\" Blake confirmed",true
1,s068-we-back-up-everything-make-it-impossible-to-suppres,chapter-ten,2491,2491,"We back up everything. Make it impossible to suppress. Then Prague.\"",Blake,"","Then Prague.\"",true
1,s069-i-know-prague-she-said-quietly-i-know-the-strah,chapter-ten,2492,2502,"\"I know Prague,\" she said quietly. \"I know the Strahov. I know the",Blake,"","\"I know Prague,\" she said quietly",true
1,s070-neither-said-it-not-yet-there-was-prague-first-th,chapter-ten,2503,2512,"Neither said it. Not yet. There was Prague first. The Strahov",Blake,"","There was Prague first",true
1,s071-morning-coffee-3-was-the-one-that-hurt,chapter-eleven,2513,2684,"Morning Coffee #3 was the one that hurt.",Blake,"Morning","",true
1,s072-prague-is-where-the-complete-system-was-last-assemb,chapter-eleven,2685,2688,"\"Prague is where the complete system was last assembled. Something",Blake,"","\"Prague is where the complete system was last assembled",true
1,s073-carried-this-to-prague-in-1965-found-the-chamber-c,chapter-eleven,2689,2691,"carried this to Prague in 1965. Found the chamber. Chose not to open",Blake,"","carried this to Prague in 1965",true
1,s074-i-know-prague-she-said-i-know-the-strahov-i-kn,chapter-eleven,2692,2697,"\"I know Prague,\" she said. \"I know the Strahov. I know the Jesuits",Blake,"","\"I know Prague,\" she said",true
1,s075-three-days-blake-said-andrew-distributes-the-su,chapter-eleven,2698,2698,"\"Three days,\" Blake said. \"Andrew distributes the SubTropolis data",Blake,"","\"Andrew distributes the SubTropolis data",true
1,s076-across-redundant-servers-then-prague,chapter-eleven,2699,2701,"across redundant servers. Then Prague.\"",Blake,"","Then Prague.\"",true
1,s077-blake-in-prague-the-dynamic-changes-kansas-city,chapter-eleven,2702,2702,"\"Blake. In Prague. The dynamic changes. Kansas City was your",Blake,"","In Prague",true
1,s078-territory-prague-is-mine-she-met-his-eyes-let-m,chapter-eleven,2703,2722,"territory. Prague is mine.\" She met his eyes. \"Let me lead.\"",Blake,"","Prague is mine.\" She met his eyes",true
1,s079-through-october-streets-that-hummed-with-symmetry-p,chapter-eleven,2723,2723,"through October streets that hummed with symmetry. Prague in three",Blake,"October","Prague in three",true
1,s080-days-the-strahov-library-the-chamber-beneath-it,chapter-eleven,2724,2729,"days. The Strahov Library. The chamber beneath it.",Blake,"","The Strahov Library",true
1,s081-three-days,chapter-eleven,2730,2730,"Three days.",Blake,"","",true
1,s082-then-prague,chapter-eleven,2731,2738,"Then Prague.",Blake,"","Then Prague.",true
1,s083-the-night-before-prague-nadia-cut-blake-s-hair,chapter-twelve,2739,2739,"The night before Prague, Nadia cut Blake's hair.",Blake,"night","The night before Prague, Nadia cut Blake's hair.",true
1,s084-it-wasn-t-planned-they-were-in-his-apartment-the-f,chapter-twelve,2740,2740,"It wasn't planned. They were in his apartment. The first time she'd",Blake,"","They were in his apartment",true
1,s085-been-back-since-the-early-days-she-d-come-to-go-ove,chapter-twelve,2741,2754,"been back since the early days. She'd come to go over the Strahov",Blake,"","She'd come to go over the Strahov",true
1,s086-he-sat-in-the-kitchen-chair-she-found-scissors-in-a,chapter-twelve,2755,2756,"He sat in the kitchen chair. She found scissors in a drawer. Stood",Blake,"","He sat in the kitchen chair",true
1,s087-precision-she-brought-to-manuscript-pages-the-sciss,chapter-twelve,2757,2768,"precision she brought to manuscript pages. The scissors were kitchen",Blake,"","The scissors were kitchen",true
1,s088-not-of-prague-i-know-prague-her-fingers-kept-wor,chapter-twelve,2769,2770,"\"Not of Prague. I know Prague.\" Her fingers kept working. \"I'm",Blake,"","\"Not of Prague",true
1,s089-already-seeing-things-i-can-t-see-in-prague-with-t,chapter-twelve,2771,2794,"already seeing things I can't see. In Prague, with the concentrated",Blake,"","In Prague, with the concentrated",true
1,s090-something-more-vulnerable-than-the-kitchen-floor-lau,chapter-twelve,2795,2801,"something more vulnerable than the kitchen-floor laugh. \"That's a",Blake,"","something more vulnerable than the kitchen-floor laugh",true
1,s091-they-were-close-kitchen-chair-close-neither-of-the,chapter-twelve,2802,2803,"They were close. Kitchen chair close. Neither of them in danger.",Blake,"","Kitchen chair close",true
1,s092-i-can-t-she-said-not-tonight-not-before-prague,chapter-twelve,2804,2818,"\"I can't,\" she said. \"Not tonight. Not before Prague. If we, and then",Blake,"night","Not before Prague",true
1,s093-prague-first-he-said-then-we-figure-this-out,chapter-twelve,2819,2819,"\"Prague first,\" he said. \"Then we figure this out.\"",Blake,"","\"Prague first,\" he said",true
1,s094-okay-prague-first,chapter-twelve,2820,2841,"\"Okay. Prague first.\"",Blake,"","Prague first.\"",true
1,s095-the-chamber-beneath-strahov-contains-what-rudolf-ii,chapter-twelve,2842,2849,"The chamber beneath Strahov contains what Rudolf II spent his life gathering. I",Blake,"","The chamber beneath Strahov contains what Rudolf II spent his life gathering",true
1,s096-key-open-the-chamber-and-whatever-you-find-share,chapter-twelve,2850,2856,"key. Open the chamber. And whatever you find, share it. Make it impossible to",Blake,"","Open the chamber",true
1,s097-the-chamber-is-waiting-i-was-not-brave-enough-to-op,chapter-twelve,2857,2859,"The chamber is waiting. I was not brave enough to open it. But you are.",Blake,"","The chamber is waiting",true
1,s098-blake-read-the-letter-three-times-then-he-set-it-do,chapter-twelve,2860,2864,"Blake read the letter three times. Then he set it down on the kitchen",Blake,"","Then he set it down on the kitchen",true
1,s099-william-s-oscar-01-key-the-beginning-james-s-key,chapter-twelve,2865,2865,"William's Oscar-01 key, the beginning. James's key. The middle.",Blake,"","",true
1,s100-the-strahov-key-the-destination,chapter-twelve,2866,2885,"The Strahov key. The destination.",Blake,"","The Strahov key",true
1,s101-resonance-the-one-he-d-calibrated-to-in-the-subtrop,chapter-twelve,2886,2894,"resonance. The one he'd calibrated to in the SubTropolis vault, when a",Blake,"","The one he'd calibrated to in the SubTropolis vault, when a",true
1,s102-chapter-thirteen,chapter-thirteen,2895,2932,"CHAPTER THIRTEEN",Blake,"","",true
1,s103-blake-narrowed-the-patterns-dimmed-to-manageable-le,chapter-thirteen,2933,2934,"Blake narrowed. The patterns dimmed to manageable levels. Prague",Blake,"","Prague",true
1,s104-you-ve-done-this-before-guided-someone-through-pra,chapter-thirteen,2935,2955,"\"You've done this before. Guided someone through Prague.\"",Blake,"","Guided someone through Prague.\"",true
1,s105-nadia-s-expression-closed-she-went-into-the-straho,chapter-thirteen,2956,2959,"Nadia's expression closed. \"She went into the Strahov chamber. She",Blake,"","\"She went into the Strahov chamber",true
1,s106-markus-chose-not-to-enter-the-chamber-he-teaches-m,chapter-thirteen,2960,2975,"\"Markus chose not to enter the chamber. He teaches mathematics",Blake,"","\"Markus chose not to enter the chamber",true
1,s107-the-door-closed-blake-lay-on-the-bed-prague-s-geom,chapter-thirteen,2976,2995,"The door closed. Blake lay on the bed. Prague's geometric language",Blake,"","Prague's geometric language",true
1,s108-old-thin-and-precise-his-apartment-was-a-library-w,chapter-thirteen,2996,3015,"old, thin and precise. His apartment was a library with a kitchen",Blake,"","His apartment was a library with a kitchen",true
1,s109-prague-she-chose-wine-chose-honesty,chapter-thirteen,3016,3038,"Prague, she chose wine. Chose honesty.",Blake,"","Prague, she chose wine",true
1,s110-he-wanted-to-go-further-into-the-chamber-beneath-s,chapter-thirteen,3039,3046,"\"He wanted to go further. Into the chamber beneath Strahov.\"",Blake,"","Into the chamber beneath Strahov.\"",true
1,s111-tomorrow-dawn-the-library-is-empty-before-the-sta,chapter-thirteen,3047,3047,"\"Tomorrow. Dawn. The library is empty before the staff arrives.",Blake,"Dawn","",true
1,s112-two-hours-in-the-chamber-miroslav-walked-them-to-t,chapter-thirteen,3048,3049,"Two hours in the chamber.\" Miroslav walked them to the door. At the threshold: \"Your grandfather asked me to tell you one thing.",Blake,"","Two hours in the chamber.\" Miroslav walked them to the door",true
1,s113-he-said-the-chamber-shows-you-everything-the-gift,chapter-thirteen,3050,3068,"He said: 'The chamber shows you everything. The gift lets you see it. But",Blake,"","He said: 'The chamber shows you everything",true
1,s114-blake-took-her-hand-deliberately-on-a-medieval-str,chapter-thirteen,3069,3076,"Blake took her hand. Deliberately. On a medieval street in Prague",Blake,"","On a medieval street in Prague",true
1,s115-tomorrow,chapter-thirteen,3077,3082,"\"Tomorrow.\"",Blake,"","",true
1,s116-she-went-into-her-room-blake-stood-in-the-hallway,chapter-thirteen,3083,3099,"She went into her room. Blake stood in the hallway, Prague",Blake,"","Blake stood in the hallway, Prague",true
1,s117-he-stood-at-the-window-prague-s-angular-language-pr,chapter-fourteen,3100,3119,"He stood at the window. Prague's angular language pressing",Blake,"","Prague's angular language pressing",true
1,s118-i-want-to-tell-you-something-nadia-said-before,chapter-fourteen,3120,3132,"\"I want to tell you something,\" Nadia said. \"Before tomorrow.",Blake,"","",true
1,s119-in-prague-were-keepers-they-raised-me-taught-me-la,chapter-fourteen,3133,3148,"in Prague were Keepers. They raised me. Taught me languages. By",Blake,"","in Prague were Keepers",true
1,s120-turned-the-ring-on-her-finger-when-i-took-it-off-b,chapter-fourteen,3149,3189,"turned the ring on her finger. \"When I took it off before SubTropolis.",Blake,"","\"When I took it off before SubTropolis.",true
1,s121-unguarded-tomorrow-you-re-going-into-a-chamber-tha,chapter-fourteen,3190,3191,"Unguarded. \"Tomorrow you're going into a chamber that has broken",Blake,"","\"Tomorrow you're going into a chamber that has broken",true
1,s122-breaker-i-won-t-write-a-report-i-will-stay-in-that,chapter-fourteen,3192,3195,"breaker. I won't write a report. I will stay in that chamber until you come",Blake,"","I will stay in that chamber until you come",true
1,s123-she-looked-at-him-the-window-light-the-prague-cour,chapter-fourteen,3196,3199,"She looked at him. The window light. The Prague courtyard. The",Blake,"","The Prague courtyard",true
1,s124-hand-in-the-dark-but-hearing-it-in-her-voice-in-p,chapter-fourteen,3200,3208,"hand in the dark. But hearing it, in her voice, in Prague, was different",Blake,"","But hearing it, in her voice, in Prague, was different",true
1,s125-not-just-the-chamber-us-if-you-go-into-that-chamb,chapter-fourteen,3209,3214,"\"Not just the chamber. Us. If you go into that chamber and come",Blake,"","\"Not just the chamber",true
1,s126-then-i-ll-protect-the-ordinary-moments-he-said,chapter-fourteen,3215,3215,"\"Then I'll protect the ordinary moments,\" he said. \"The coffee at",Blake,"","",true
1,s127-3-47-the-thai-food-on-the-kitchen-floor-the-haircu,chapter-fourteen,3216,3220,"3:47. The Thai food on the kitchen floor. The haircut.\"",Blake,"","The Thai food on the kitchen floor",true
1,s128-they-stayed-like-that-for-a-long-time-prague-hummin,chapter-fourteen,3221,3228,"They stayed like that for a long time. Prague humming its ancient",Blake,"","Prague humming its ancient",true
1,s129-dawn-she-said-strahov-four-hours,chapter-fourteen,3229,3231,"\"Dawn,\" she said. \"Strahov. Four hours.\"",Blake,"Dawn","\"Strahov",true
1,s130-chamber-shows-you-everything-but-only-love-lets-you,chapter-fourteen,3232,3248,"chamber shows you everything. But only love lets you survive it.\" She",Blake,"","chamber shows you everything",true
1,s131-chapter-fifteen,chapter-fifteen,3249,3253,"CHAPTER FIFTEEN",Blake,"","",true
1,s132-strahov-library-wasn-t-open-for-another-four-hours,chapter-fifteen,3254,3266,"Strahov Library wasn't open for another four hours. They had the",Blake,"","Strahov Library wasn't open for another four hours",true
1,s133-flooded-him-premonstratensian-monks-the-chamber-i,chapter-fifteen,3267,3284,"flooded him. \"Premonstratensian monks. The chamber is beneath the",Blake,"","The chamber is beneath the",true
1,s134-not-yet-nadia-said-she-touched-his-arm-save-it,chapter-fifteen,3285,3297,"\"Not yet,\" Nadia said. She touched his arm. \"Save it for the",Blake,"","",true
1,s135-the-chamber-is-designed-miroslav-said-the-propo,chapter-fifteen,3298,3309,"\"The chamber is designed,\" Miroslav said. \"The proportions",Blake,"","\"The chamber is designed,\" Miroslav said",true
1,s136-blake-the-chamber-was-designed-for-someone-with-th,chapter-fifteen,3310,3316,"\"Blake. The chamber was designed for someone with the gift. For",Blake,"","The chamber was designed for someone with the gift",true
1,s137-the-chamber-was-smaller-than-blake-expected,chapter-fifteen,3317,3331,"The chamber was smaller than Blake expected.",Blake,"","The chamber was smaller than Blake expected.",true
1,s138-he-breathed-the-density-of-information-was-staggeri,chapter-fifteen,3332,3376,"He breathed. The density of information was staggering, more",Blake,"","",true
1,s139-they-stood-in-the-chamber-then-blake-said-we-docu,chapter-fifteen,3377,3395,"They stood in the chamber. Then Blake said: \"We document",Blake,"","They stood in the chamber",true
1,s140-at-seven-thirty-they-emerged-into-prague-s-october,chapter-fifteen,3396,3397,"At seven-thirty, they emerged into Prague's October morning. Cold",Blake,"October","At seven-thirty, they emerged into Prague's October morning",true
1,s141-blake-missed-it-already-the-chamber-s-full-sight-t,chapter-fifteen,3398,3418,"Blake missed it already. The chamber's full sight. The door he'd",Blake,"","The chamber's full sight",true
1,s142-ring-between-their-palms-the-strahov-chamber-beneat,chapter-fifteen,3419,3434,"ring between their palms. The Strahov chamber beneath their feet,",Blake,"","The Strahov chamber beneath their feet,",true
1,s143-the-evening-after-the-strahov-blake-couldn-t-look-a,chapter-sixteen,3435,3453,"The evening after the Strahov, Blake couldn't look at Nadia without",Blake,"evening","The evening after the Strahov, Blake couldn't look at Nadia without",true
1,s144-sorry-the-chamber-it-s-taking-longer-to-fade-than,chapter-sixteen,3454,3480,"\"Sorry. The chamber, it's taking longer to fade than I expected.\"",Blake,"","The chamber, it's taking longer to fade than I expected.\"",true
1,s145-credentials-but-not-government-agents-they-knew-ab,chapter-sixteen,3481,3699,"credentials, but not government agents. They knew about Prague. Their offer: join",Blake,"","They knew about Prague",true
1,s146-the-word-held-everything-the-bridge-the-confession,chapter-seventeen,3700,3711,"The word held everything. The bridge, the confession, the Strahov,",Blake,"","The bridge, the confession, the Strahov,",true
1,s147-miroslav-gave-blake-his-father-s-manuscript-on-their,chapter-eighteen,3712,3712,"Miroslav gave Blake his father's manuscript on their last night in Prague.",Blake,"night","Miroslav gave Blake his father's manuscript on their last night in Prague.",true
1,s148-not-at-the-apartment-at-the-strahov-library-after,chapter-eighteen,3713,3748,"Not at the apartment. At the Strahov Library, after hours, the two",Blake,"","Not at the apartment",true
1,s149-september-15-2010-the-day-james-died,chapter-eighteen,3749,3774,"September 15, 2010. The day James died.",Nadia,"September 15, 2010","",true
1,s150-we-go-home-blake-said-take-everything-strahov,chapter-eighteen,3775,3794,"\"We go home,\" Blake said. \"Take everything. Strahov",Nadia,"","Strahov",true
1,s151-they-left-prague-the-next-morning,chapter-eighteen,3795,3803,"They left Prague the next morning.",Blake,"morning","They left Prague the next morning.",true
1,s152-they-walked-through-mal-strana-in-early-morning-pr,chapter-eighteen,3804,3842,"They walked through Malá Strana in early morning. Prague waking",Blake,"morning","Prague waking",true
1,s153-the-apartment-had-been-entered-while-they-were-in-pr,chapter-nineteen,3843,3873,"The apartment had been entered while they were in Prague.",Blake,"","The apartment had been entered while they were in Prague.",true
1,s154-nadia-stopped-at-the-kitchen-table-blake-the-tabl,chapter-nineteen,3874,3904,"Nadia stopped at the kitchen table. \"Blake. The table.\"",Blake,"","Nadia stopped at the kitchen table",true
1,s155-morning-coffee-4,chapter-nineteen,3905,3919,"Morning Coffee #4.",Blake,"Morning","",true
1,s156-i-know-she-picked-up-her-coffee-the-strahov-acc,chapter-nineteen,3920,3931,"\"I know.\" She picked up her coffee. \"The Strahov accelerated",Blake,"","\"The Strahov accelerated",true
1,s157-morning-coffee-4-the-last-one-that-felt-like-the-f,chapter-nineteen,3932,3942,"Morning Coffee #4. The last one that felt like the first ones.",Blake,"Morning","",true
1,s158-strahov-photographs-the-timeline-he-parked-behind,chapter-twenty,3943,3954,"Strahov photographs, the timeline. He parked behind Ethan's truck,",Blake,"","Strahov photographs, the timeline",true
1,s159-inside-james-s-engineering-awards-still-hung-in-the,chapter-twenty,3955,4008,"Inside: James's engineering awards still hung in the hallway. His",Blake,"","Inside: James's engineering awards still hung in the hallway",true
1,s160-oscar-01-subtropolis-meramec-caverns-the-at-t-bun,chapter-twenty,4009,4017,"Oscar-01. SubTropolis. Meramec Caverns. The AT&T bunker at",Blake,"","SubTropolis",true
