id,severity,class,entity,book,line_start,line_end,quoted_text,defect_description,conflicts_with_ids,external_ground_truth,sources,confidence,canonical_ruling,proposed_fix,fix_word_count,ripple_ids,local_reader_notices,author_decision_required
DX-011,CRITICAL,EXTERNAL_FACT_ERROR,Troost / Quality Hill boundary,3,4004,4005,She drove down Troost. ... Past the Quality Hill boundary into the institutional district.,Implies Quality Hill abuts Troost. Quality Hill's eastern boundary is Broadway; Troost is ~1.5–2+ miles farther east and is KC's historic racial/economic dividing line. Driving down Troost cannot take you 'past the Quality Hill boundary.',,Quality Hill: Broadway (east). Troost Avenue: major N–S corridor east of downtown core; historically the city's Black/white dividing line.,"https://en.wikipedia.org/wiki/Quality_Hill,_Kansas_City | NRHP 78001657",CONFIRMED,"Route must use Broadway / Washington / Pennsylvania / Southwest Trafficway to approach Quality Hill. Troost community session can remain, but not as the street that crosses the Quality Hill boundary.","Rewrite drive: e.g. leave Troost corridor, cut west to Broadway, then 'past the Quality Hill boundary into the institutional block on Washington.'",25,DX-012,YES — floor MAJOR per local-reader test; geography is identity-loaded.,NO
DX-012,MAJOR,DEFENSIBLE_BUT_AMBIGUOUS,Troost Avenue,2,4123,4124,February light fell on the buildings of Troost Avenue,"If Nadia is in Quality Hill apartment/office looking onto Troost, sightline is implausible (Troost is far east). If she is elsewhere east of downtown, fine — text does not establish viewpoint clearly.",DX-011,Troost ≉ Quality Hill.,"https://en.wikipedia.org/wiki/Quality_Hill,_Kansas_City",LIKELY,"Clarify viewpoint building location, or change avenue to Broadway / Pennsylvania / Washington visible from Quality Hill.",Troost Avenue → Broadway / Pennsylvania Avenue if viewpoint is Quality Hill.,2,DX-011,YES if read as Quality Hill window view.,YES
DX-013,MAJOR,EXTERNAL_FACT_ERROR,Picture Cave,1,1356,1356,"""Picture Cave,"" she said. ""Washington County, Missouri.","Picture Cave is in Warren County, Missouri — not Washington County. Site has living Osage Nation cultural claims; 2021 private sale was contested.",,"Warren County, MO; Osage sacred site; sold 2021 over Nation objections.",https://en.wikipedia.org/wiki/Picture_Cave | https://www.osageculture.com/culture/geography/picture-cave,CONFIRMED,Correct county to Warren. Flag representational sensitivity for author (Osage claims) — not a geography fix.,Washington County → Warren County.,2,,MAYBE for KC; YES for MO archaeology / Osage-aware readers.,YES
DX-014,MINOR,UNVERIFIABLE,Blake Westport studio vs Quality Hill apartment,1,369,369,"A studio in Westport, third floor walkup.",Early Blake residence in Westport (~3.5 mi south of Quality Hill). Later residence is Quality Hill apartment. Move is present but easy to miss; confirm intentional earlier residence.,,"Westport ≈ Westport Rd & Broadway, ~3.5 mi south of Quality Hill.",kc_distance_matrix.csv,CONFIRMED,Defensible if move is marked once. Optional one-line bridge when Quality Hill apartment becomes home.,Optional establishing line on first Quality Hill apartment scene.,15,,NO if read as earlier residence.,NO
DX-015,STYLE,DEFENSIBLE_BUT_AMBIGUOUS,Meramec Caverns travel,1,892,892,The patterns in flowstone at Meramec Caverns.,"Location (Stanton, MO / I-44) is real; ~197 mi from KC (~3–3.5 hr drive). No false adjacency found in concordance. Logged as verified-ok with distance note for the location bible.",,"Meramec Caverns near Stanton, MO; ~197 mi from downtown KC.",https://en.wikipedia.org/wiki/Meramec_Caverns | kc_distance_matrix.csv,CONFIRMED,No change required.,None.,0,,NO,NO
DX-016,STYLE,DEFENSIBLE_BUT_AMBIGUOUS,City Market / Westport bookshop / Overland Park,2,1696,3535,shop in the City Market ... used bookshop in Westport ... raised in Overland Park,"Real places used correctly as metro texture. City Market (River Market), Westport, Overland Park placements are geographically coherent. No contradiction found; logged as verified-ok / low risk.",,City Market in River Market; Westport midtown; OP in Johnson County KS ~9 mi from Quality Hill.,kc_distance_matrix.csv,CONFIRMED,No change.,None.,0,,NO,NO
DX-017,MINOR,DEFENSIBLE_BUT_AMBIGUOUS,West Bottoms skyline sightlines,1,1490,1494,"The skyline downtown, the grain elevators on the far bank, the mathematical spacing of the railroad bridges.","From West Bottoms / Genessee, downtown skyline and railroad bridges are correct. 'Grain elevators on the far bank' is broadly plausible (river industrial) but which bank/river should be unambiguous to avoid Kansas-vs-Missouri confusion.",,West Bottoms sits at confluence; downtown rises on Quality Hill bluff to the east/southeast.,https://www.visitkc.com/explore/neighborhoods/west-bottoms/,LIKELY,Optional clarify 'across the Missouri' / 'against the Quality Hill bluff'.,Optional three-word clarifier on bank.,3,,MAYBE,NO
DX-018,MAJOR,INTERNAL_CONTRADICTION,Foundation occupancy addresses,3,501,501,"second floor of the Washington Street building, the room where Nadia","B2:3504 places Foundation on entire third floor; B3:501 references second floor of Washington Street building. Possible other tenants on floor 2, but occupancy language should stay consistent if Foundation 'occupied the entire third floor'.",DX-001,N/A (fictional building on real street).,,LIKELY,"If Nadia's room is Foundation space, prefer third floor. If second floor is apartment/other use, say so.",second floor → third floor OR clarify non-Foundation room.,2,DX-003,NO,YES
DX-019,MAJOR,EXTERNAL_FACT_ERROR,Hotel Phillips as Foundation,2,619,619,The Hotel Phillips Building office in November.,"External: Hotel Phillips is an operating 216-room Curio Collection hotel (Tavernonna, Kilo Charlie, P.S. Speakeasy). Presenting it as Foundation office space without framing (leased suite / fictional wing) will collide with readers who know/visit the hotel.",DX-001,Operating Hilton Curio hotel at 106 W 12th.,https://www.hilton.com/en/hotels/mkccuqq-hotel-phillips-kansas-city/hotel-info/,CONFIRMED,"If Hotel Phillips retained as meeting venue, name public spaces (coffee bar / lobby / speakeasy). Do not call it 'the Foundation office' without lease framing.",See DX-001 author options.,10,DX-001|DX-002,YES,YES
DX-020,CRITICAL,INTERNAL_CONTRADICTION,Foundation vertical adjacency to SubTropolis,3,2391,2393,converted Moreau church basement that had become the Foundation's primary research chamber,Makes Moreau/SubTropolis chamber the Foundation's primary research chamber while Foundation offices are on Washington Street downtown — implying institutional continuity underground that geography forbids without an unexplained 8-mile tunnel.,DX-004|DX-005,No public connection between Quality Hill and SubTropolis.,https://en.wikipedia.org/wiki/SubTropolis,CONFIRMED,Primary research chamber may be at SubTropolis as a satellite facility; never 'below' the Washington Street offices.,Call it 'the Foundation's SubTropolis research chamber' / 'primary underground chamber at SubTropolis'.,8,DX-004|DX-005,YES,NO
