Title,Description,Link,Image URL,Board,Alt Text
Masters X Trilogy — Kindle & eBook,"Read the trilogy digitally. The Inheritance of Frequency, The Grimoire, The Kingdom — all available on Kindle. By Jason Carroll Holloway from Seventh City Press. #MastersXTrilogy #Kindle #eBook",https://jasoncholloway.com/books/masters-x/the-inheritance-of-frequency/#kindle,https://jasoncholloway.com/covers/book1-ebook.jpg,Masters X Trilogy — Books & Editions,Masters X Vol I The Inheritance of Frequency ebook cover
The Grimoire — eBook & Kindle Edition,"Vol II of the Masters X Trilogy. Prague, the Strahov Library, a frequency key in medieval notation. Available on Kindle. ISBN 9798256009625. #MastersXTrilogy #Kindle #eBook",https://jasoncholloway.com/books/masters-x/the-grimoire/#kindle,https://jasoncholloway.com/covers/book2-ebook.jpg,Masters X Trilogy — Books & Editions,Masters X Vol II The Grimoire ebook cover
The Kingdom — eBook & Kindle Edition,Vol III of the Masters X Trilogy. The frequency engine activated. Available on Kindle. ISBN 9798256009809. #MastersXTrilogy #Kindle #eBook,https://jasoncholloway.com/books/masters-x/the-kingdom/#kindle,https://jasoncholloway.com/covers/book3-ebook.jpg,Masters X Trilogy — Books & Editions,Masters X Vol III The Kingdom ebook cover
The Voynich Manuscript — Beinecke MS 408,"240 parchment pages of undeciphered script held at Yale's Beinecke Library since 1969. Central to the Masters X Trilogy. This is documented history, not fiction. #VoynichManuscript #BeineckeLibrary #RealHistory",https://jasoncholloway.com/field-notes/voynich-manuscript/,https://jasoncholloway.com/og/field-notes/voynich-manuscript.png,Facts Behind the Fiction — Masters X,Voynich Manuscript research — Beinecke MS 408
Strahov Monastery — Prague Since 1143,Baroque theological hall in Prague — Premonstratensian monastery since 1143. Real location from the Masters X Trilogy. 23 chained books. The most beautiful room in Prague. #StrahovMonastery #Prague #MedievalLibrary,https://jasoncholloway.com/field-notes/strahov-monastery/,https://jasoncholloway.com/og/field-notes/strahov-monastery.png,Facts Behind the Fiction — Masters X,Strahov Monastery library research
Cymatics — Sound You Can See,Hans Jenny documented how sound organizes matter into visible patterns. Real physics behind the trilogy's frequency engine. #Cymatics #AcousticScience #SoundVisualization #FactsBehindFiction,https://jasoncholloway.com/field-notes/cymatics/,https://jasoncholloway.com/og/field-notes/cymatics.png,Facts Behind the Fiction — Masters X,Cymatics field note — sound visualization
111 Hz — The Archaeoacoustic Frequency,Standing waves at 111 Hz in Neolithic chambers from Malta to Ireland. Documented archaeoacoustic research. Real science in the Masters X Trilogy. #111Hz #Archaeoacoustics #FactsBehindFiction,https://jasoncholloway.com/field-notes/111-hz/,https://jasoncholloway.com/og/field-notes/111-hz.png,Facts Behind the Fiction — Masters X,111 Hz archaeoacoustics field note
Ars Notoria — Medieval Cognitive Technology,"A medieval ritual text promising perfect memory through geometric figures and invocation. Referenced in the Masters X Trilogy. Documented, real history. #ArsNotoria #MedievalManuscripts #FactsBehindFiction",https://jasoncholloway.com/field-notes/ars-notoria/,https://jasoncholloway.com/og/field-notes/ars-notoria.png,Facts Behind the Fiction — Masters X,Ars Notoria medieval text research
Codex Gigas — The Devil's Bible,Largest surviving medieval manuscript. Created in a single night according to legend. Now in Stockholm's National Library. Referenced in the Masters X Trilogy. #CodexGigas #MedievalManuscripts #Bohemia,https://jasoncholloway.com/field-notes/codex-gigas/,https://jasoncholloway.com/og/field-notes/codex-gigas.png,Facts Behind the Fiction — Masters X,Codex Gigas research visualization
"SubTropolis — Underground City, Kansas City","1,100 acres of commercial space carved into limestone bluffs. Real. Visitable. Central to the Masters X Trilogy. #SubTropolis #KansasCity #UndergroundCity #FactsBehindFiction",https://jasoncholloway.com/field-notes/subtropolis/,https://jasoncholloway.com/og/field-notes/subtropolis.png,Facts Behind the Fiction — Masters X,SubTropolis underground Kansas City
Gospel of Thomas — Saying 113,'The Kingdom of the Father is spread upon the earth and men do not see it.' Gnostic text central to the trilogy's thematic architecture. #GospelOfThomas #Gnostic #FactsBehindFiction,https://jasoncholloway.com/field-notes/gospel-of-thomas/,https://jasoncholloway.com/og/field-notes/gospel-of-thomas.png,Facts Behind the Fiction — Masters X,Gospel of Thomas field note
Meramec Caverns — Missouri Limestone,Documented cave system in Missouri's limestone belt. Part of the geological reality grounding the Masters X Trilogy. #MeramecCaverns #Missouri #Caves #FactsBehindFiction,https://jasoncholloway.com/field-notes/meramec-caverns/,https://jasoncholloway.com/og/field-notes/meramec-caverns.png,Facts Behind the Fiction — Masters X,Meramec Caverns research visualization
Oscar-01 — Malmstrom AFB 1967 Incident,March 1967. Ten nuclear ICBMs simultaneously disabled at Malmstrom. Documented. Declassified. Referenced in the Masters X Trilogy. #Oscar01 #Malmstrom #Declassified #FactsBehindFiction,https://jasoncholloway.com/field-notes/oscar-01/,https://jasoncholloway.com/og/field-notes/oscar-01.png,Facts Behind the Fiction — Masters X,Oscar-01 missile incident field note
U-2 Test Pilots — Cold War Reconnaissance,CIA reconnaissance program. Documented history behind the geopolitical substrate of the Masters X Trilogy. #U2 #ColdWar #TestPilots #FactsBehindFiction,https://jasoncholloway.com/field-notes/u2-test-pilots/,https://jasoncholloway.com/og/field-notes/u2-test-pilots.png,Facts Behind the Fiction — Masters X,U-2 test pilots field note
Field Notes — All Research Behind Masters X,"The complete library of documented research behind the Masters X Trilogy. Real places, real manuscripts, real science. Explore the facts behind the fiction. #FieldNotes #Research #MastersXTrilogy",https://jasoncholloway.com/field-notes/,https://jasoncholloway.com/og/field-notes/hub.png,Facts Behind the Fiction — Masters X,Field Notes hub — all research
"SubTropolis — 1,100 Acres Underground",The world's largest underground business complex carved into limestone bluffs below the Missouri River. Every tunnel in Masters X is real. #KansasCity #SubTropolis #UndergroundKC,https://jasoncholloway.com/field-notes/subtropolis/#kansas-city,https://jasoncholloway.com/og/field-notes/subtropolis.png,Real Kansas City — Masters X Locations,SubTropolis underground Kansas City
Kansas City Locations — Masters X Map,"Westport, West Bottoms, Quality Hill, Hotel Phillips, SubTropolis — every real KC location in the trilogy. Fiction built on documented geography. #KansasCity #KC #LiteraryKC #MastersXTrilogy",https://jasoncholloway.com/field-notes/kansas-city-locations/,https://jasoncholloway.com/og/field-notes/kansas-city-locations.png,Real Kansas City — Masters X Locations,Kansas City locations from Masters X Trilogy
Meramec Caverns — Missouri Underground,Missouri's limestone cavern system. The geological reality beneath the Masters X Trilogy's underground sequences. Real. Visitable. #MeramecCaverns #Missouri #Underground #KansasCity,https://jasoncholloway.com/field-notes/meramec-caverns/#missouri,https://jasoncholloway.com/og/field-notes/meramec-caverns.png,Real Kansas City — Masters X Locations,Meramec Caverns Missouri
Voynich Manuscript Folio f1r — Opening Page,The first folio of Beinecke MS 408. Undeciphered for 600 years. Central artifact in the Masters X Trilogy. #VoynichManuscript #MedievalManuscripts #Beinecke,https://jasoncholloway.com/chamber/folio-visualizer/#f1r,https://jasoncholloway.com/folios/voynich/Vol%201/voynich-004.jpg,Medieval Manuscripts & Esoteric Archives,Voynich Manuscript folio f1r opening page
Voynich Manuscript — Botanical Section,One of 113 plant illustrations in the Voynich Manuscript. No identified species matches. Documented mystery. #VoynichManuscript #BotanicalIllustration #MedievalMystery,https://jasoncholloway.com/chamber/folio-visualizer/#botanical,https://jasoncholloway.com/folios/voynich/Vol%201/voynich-005.jpg,Medieval Manuscripts & Esoteric Archives,Voynich Manuscript botanical section folio
Voynich Foldout f85v-86r — Astronomical,Largest foldout folio in the Voynich Manuscript. Astronomical or cosmological diagram. Still undeciphered. #VoynichManuscript #Astronomy #MedievalManuscripts,https://jasoncholloway.com/chamber/folio-visualizer/#f85v-86r,https://jasoncholloway.com/folios/voynich/Vol%204/f85v-86r.jpg,Medieval Manuscripts & Esoteric Archives,Voynich Manuscript astronomical foldout f85v-86r
Strahov Monastery — 23 Chained Books,"Baroque theological hall in Prague — Premonstratensian monastery since 1143. 23 chained books, the most beautiful room in Prague. Real location from Masters X. #StrahovMonastery #Prague #MedievalLibrary",https://jasoncholloway.com/field-notes/strahov-monastery/#manuscript,https://jasoncholloway.com/og/field-notes/strahov-monastery.png,Medieval Manuscripts & Esoteric Archives,Strahov Monastery library Prague
Ars Notoria — Memory Through Geometry,Medieval text promising perfect memory through geometric figures and sacred invocation. The cognitive technology referenced in the Masters X Trilogy. #ArsNotoria #MedievalManuscripts #SacredGeometry,https://jasoncholloway.com/field-notes/ars-notoria/#manuscript,https://jasoncholloway.com/og/field-notes/ars-notoria.png,Medieval Manuscripts & Esoteric Archives,Ars Notoria medieval manuscript research
Codex Gigas — Bohemia's Devil's Bible,92cm tall. 165 calfskin pages. The largest surviving medieval manuscript. Now in Stockholm. From Bohemia. Referenced in the Masters X Trilogy. #CodexGigas #DevilsBible #MedievalManuscripts,https://jasoncholloway.com/field-notes/codex-gigas/#manuscript,https://jasoncholloway.com/og/field-notes/codex-gigas.png,Medieval Manuscripts & Esoteric Archives,Codex Gigas research
Cymatics — Hans Jenny's Sound Patterns,Hans Jenny documented how sound organizes matter into visible geometric patterns. Real physics behind the Masters X frequency engine. #Cymatics #HansJenny #SoundVisualization,https://jasoncholloway.com/field-notes/cymatics/#jenny,https://jasoncholloway.com/og/field-notes/cymatics.png,Acoustic Science & Cymatics,Cymatics — Hans Jenny sound patterns
111 Hz Standing Waves — Neolithic to Now,"The same frequency resonates in Malta's Hypogeum, Newgrange, and the Oracle Chamber. Documented archaeoacoustic research. #111Hz #Archaeoacoustics #StandingWaves",https://jasoncholloway.com/field-notes/111-hz/#resonance,https://jasoncholloway.com/og/field-notes/111-hz.png,Acoustic Science & Cymatics,111 Hz standing waves archaeoacoustic research
Ars Notoria as Acoustic Specification,Medieval ritual text reframed as frequency protocol. The Harmonic Stack analysis from the Masters X Analysis Chamber. #ArsNotoria #AcousticScience #HarmonicStack,https://jasoncholloway.com/chamber/harmonic-stack/#acoustic,https://jasoncholloway.com/og/field-notes/ars-notoria.png,Acoustic Science & Cymatics,Harmonic Stack — Ars Notoria as acoustic spec
Seventh City Press — Literary Publisher,"Fiction built on real research. Criticism built on close reading. Independent literary imprint based in Kansas City, Missouri. #SeventhCityPress #IndependentPublishing #LiteraryFiction",https://seventhcitypress.com/,https://jasoncholloway.com/covers/omnibus-hardcover-v3.png,Seventh City Press — Author & Imprint,Seventh City Press — Masters X Trilogy omnibus
Jason Carroll Holloway — Author,"Author of the Masters X Trilogy and the Hawkes monograph. Fiction grounded in documented research. From Seventh City Press, Kansas City. #JasonCarrollHolloway #Author #LiteraryFiction",https://jasoncholloway.com/,https://jasoncholloway.com/covers/book1-hardcover-v3.png,Seventh City Press — Author & Imprint,Jason Carroll Holloway author
All Books from Seventh City Press,"Masters X Trilogy, complete omnibus, and the Hawkes monograph. Available in hardcover, paperback, and Kindle. #SeventhCityPress #Books #LiteraryFiction",https://jasoncholloway.com/books/,https://jasoncholloway.com/og/field-notes/hub.png,Seventh City Press — Author & Imprint,Seventh City Press complete catalog
Privacy & Terms — Seventh City Press,"Our commitment to your privacy. No invasive tracking, no data sales. Seventh City Press values your trust. #Privacy #SeventhCityPress",https://seventhcitypress.com/privacy/,https://jasoncholloway.com/covers/omnibus-case.png,Seventh City Press — Author & Imprint,Seventh City Press privacy policy
"Innocence, Desire & the Fall — Paperback",A critical and quantitative analysis of the repeating symbolic architectures across John Hawkes's novel corpus. By Jason Carroll Holloway. ISBN 9798295778247. #JohnHawkes #LiteraryCriticism,https://jasoncholloway.com/books/hawkes-monograph/,https://jasoncholloway.com/covers/hawkes-paperback-web.png,Hawkes Monograph — Literary Criticism,Innocence Desire Architecture of the Fall paperback
"Innocence, Desire & the Fall — Hardcover",Hardcover edition. 200+ pages of close reading and quantitative pattern analysis of John Hawkes's novels. ISBN 9798349308444. From Seventh City Press. #JohnHawkes #Hardcover #LiteraryCriticism,https://jasoncholloway.com/books/hawkes-monograph/#hardcover,https://jasoncholloway.com/covers/hawkes-hardcover-web.png,Hawkes Monograph — Literary Criticism,Innocence Desire Architecture of the Fall hardcover
John Hawkes — Structural Patterns,"Repeating architectures of innocence and transgression in The Lime Twig, Second Skin, The Blood Oranges, and beyond. Quantitative literary criticism. #JohnHawkes #LiteraryAnalysis #Structuralism",https://jasoncholloway.com/books/hawkes-monograph/#analysis,https://jasoncholloway.com/covers/hawkes-ebook.jpg,Hawkes Monograph — Literary Criticism,John Hawkes structural analysis ebook
Reading Order — Where to Start Masters X,Start with Vol I: The Inheritance of Frequency. Then The Grimoire. Then The Kingdom. Or start with the Complete Trilogy Omnibus. #MastersXTrilogy #ReadingOrder #BookRecommendation,https://jasoncholloway.com/chamber/reading-sequence/,https://jasoncholloway.com/covers/book1-paperback.png,Reading Masters X — Guides & Companions,Masters X reading order guide
The Analysis Chamber — Companion Content,"Interactive tools, folio visualizers, harmonic stack breakdowns, and reading guides. Companion content for serious readers of Masters X. #AnalysisChamber #MastersX #CompanionContent",https://jasoncholloway.com/chamber/,https://jasoncholloway.com/og/field-notes/voynich-manuscript.png,Reading Masters X — Guides & Companions,Masters X Analysis Chamber hub
Books Like Foucault's Pendulum,"If you loved Umberto Eco, you'll love the Masters X Trilogy. Real history. Real manuscripts. Real conspiracy — grounded in documentation, not genre tropes. #FoucaultsPendulum #UmbertoEco #LiteraryConspiracy",https://jasoncholloway.com/books/books-like-foucaults-pendulum/,https://jasoncholloway.com/covers/book1-paperback.png,Reading Masters X — Guides & Companions,Books like Foucaults Pendulum — Masters X Trilogy
Voynich Folio Explorer — Interactive,Browse every folio of the Voynich Manuscript while reading the Masters X Trilogy. Interactive reading companion. #VoynichManuscript #InteractiveReading #MastersX,https://jasoncholloway.com/chamber/folio-visualizer/,https://jasoncholloway.com/folios/voynich/Vol%201/voynich-008.jpg,Reading Masters X — Guides & Companions,Voynich folio visualizer interactive
Harmonic Stack — Ars Notoria Decoded,The Harmonic Stack: Ars Notoria reinterpreted as acoustic specification. Deep-dive companion content from the Analysis Chamber. #HarmonicStack #ArsNotoria #MastersX,https://jasoncholloway.com/chamber/harmonic-stack/,https://jasoncholloway.com/og/field-notes/ars-notoria.png,Reading Masters X — Guides & Companions,Harmonic Stack analysis
